Tecnologia,Ocorrências
has_led,93
has_seat belt,82
has_visual,15
has_occupant sensor,11
has_cinto de segurança,11
has_modular,4
has_nfc,1
has_qr code,0
has_public display,0
has_blockchain,0
has_staking,0
has_auditável,0
has_interface pública,0
